ID,Gender,Age,Marital Status,Job,Employment Status,Your Phone Model,Your bank information,How many years you are using internet banking application,How many years you are using mobile banking application,Do you find mobile application user-friendly,Internet banking usage frequency,Mobile banking usage frequency,Credit card debt inquiry,Credit card debt payment,Credit card limit transactions,Create & delete virtual card,Virtual card limit transactions,An additional new card application,Opening a new account,Balance check,Loan transaction,Transfer money to previously transferred account.,Transfer money to new account.,Invoice payment (If it is automatic payment than choose 8),Government payments,GSM transactions,Rent payment,Lottery transactions,HGS / OGS transactions,Tax / penalty transactions,SGK transactions,Bill transactions,Salary payment,Investment account transactions,Foreign money exchange transactions,Gold transactions,Investment fund transactions,Stock transactions,Public offering operations,Repo transactions,Bond transactions,Instant stock exchange transactions,Consumer credit usage,My credit accounts,Applying for mortgage ,Applying for car loan,Findeks risk report,New card application,New account opening,Request status,Foreign exchange calculation,Loan calculation,Make an appointment at a bank branch,Donate transactions,View payment schedule,View bank campaigns,Mobile signature use,Communicating with the bank
1,Man,36-40,Married,,Private sector,SONY,Garanti,15+,7,Yes,9,9,8,8,6,8,8,9,9,8,9,8,8,8,5,4,4,4,0,5,0,,0,0,0,0,0,0,0,5,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2,Woman,31-35,Married,purchasing,Private sector,SAMSUNG A5,Akbank,10+,7,Yes,5,5,5,4,3,3,4,3,3,4,5,4,3,5,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Woman,20-24,Single,trainer,Private sector,Iphone ,Garanti,0-5,5,No,7,9,5,5,9,0,0,0,0,9,0,9,9,8,8,8,8,0,8,8,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,0,0,9,9,0,0
4,Woman,20-24,Single,trainer,Private sector,Iphone ,Ziraat,0-5,5,No,7,9,5,5,9,0,0,0,0,9,0,9,9,8,8,8,8,0,8,8,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,0,0,9,9,0,0
5,Woman,20-24,Single,trainer,Private sector,Iphone ,Isbank,0-5,5,No,7,9,5,5,9,0,0,0,0,9,0,9,9,8,8,8,8,0,8,8,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0,0,0,9,9,0,0
6,Man,25-30,Single,,Private sector,SAMSUNG S6,Akbank,0-5,3,Yes,5,6,0,0,0,9,9,0,0,5,0,4,3,5,5,4,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0
7,Man,25-30,Single,computer engineer,Private sector,LG,Garanti,0-5,3,Yes,5,6,5,5,3,0,0,0,0,0,0,3,0,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,3,0,0,0,9,5,0,4
8,,25-30,,computer engineer,Private sector,HTC,Akbank,0-5,3,No,9,9,5,4,4,0,0,0,0,7,,4,9,4,4,4,4,,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,5,0,0
9,Man,25-30,Single,Engineer,Private sector,ASUS,Akbank,0-5,3,Yes,7,7,5,5,3,3,3,3,3,3,3,5,3,5,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Man,25-30,Single,Engineer,Private sector,ASUS,Isbank,0-5,3,Yes,5,5,4,4,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Man,25-30,Single,Engineer,Private sector,ASUS,Ziraat,0-5,3,Yes,3,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Woman,25-30,Married,computer engineer,Private sector,Nokia,Akbank,0-5,3,No,5,5,5,4,3,0,0,0,0,5,3,5,3,9,4,4,4,4,0,0,0,0,4,4,4,4,0,0,-,-,-,4,4,4,4,-,-,-,0,0,0,0,0,3,5,4,0,4
13,Woman,25-30,Married,computer engineer,Private sector,Galaxy S4,Akbank,10+,6,Yes,6,6,5,9,0,0,0,9,9,6,0,9,9,9,9,5,9,9,0,0,0,0,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9
14,Woman,25-30,Married,computer engineer,Private sector,Galaxy S4,Garanti,10+,6,Yes,6,6,5,9,0,0,0,9,9,6,0,9,9,9,9,5,9,9,0,0,0,0,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9
15,Woman,25-30,Married,computer engineer,Private sector,Galaxy S4,Isbank,10+,6,Yes,6,6,5,9,0,0,0,9,9,6,0,9,9,9,9,5,9,9,0,0,0,0,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9
16,Man,20-24,Single,computer engineer,Private sector,LG,Ziraat,0-5,3,Yes,3,7,5,4,0,3,3,3,3,7,0,5,3,0,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Man,20-24,Single,computer engineer,Private sector,LG,Akbank,0-5,3,No,6,6,0,0,0,0,0,0,0,7,0,5,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,,,,,,,,0
18,Woman,25-30,Single,computer engineer,Private sector,LG,Garanti,4-6,6,Yes,5,5,4,4,0,3,8,0,0,5,0,4,3,9,4,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,3
19,Woman,25-30,Single,computer engineer,Private sector,LG,Akbank,0-5,3,No,3,5,4,4,0,3,4,0,0,5,0,5,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Woman,25-30,Single,computer engineer,Private sector,LG,Finansbank,0-5,3,No,3,5,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Woman,20-24,Single,Engineer,Private sector,Iphone,Akbank,0-5,3,No,3,7,7,7,0,0,0,0,0,7,0,7,3,9,3,4,4,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,3
22,Woman,20-24,Single,Engineer,Private sector,Iphone,Finansbank,0-5,3,Yes,0,7,0,0,0,0,0,0,0,7,7,,3,9,0,9,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,3,5,0,0
23,Woman,20-24,Single,Engineer,Private sector,Iphone,ING,0-5,3,No,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
24,Woman,20-24,Single,Engineer,Private sector,Iphone,Isbank,4-6,6,Yes,3,8,7,7,0,0,0,0,0,7,0,7,3,9,3,4,4,0,0,3,3,0,4,5,5,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,4,5,7,0,3
25,Man,25-30,Married,computer engineer,Private sector,Iphone 6,Akbank,,7,Yes,3,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Man,20-24,Single,computer engineer,Private sector,LG V10,Akbank,0-5,3,Yes,4,7,0,0,0,0,0,0,9,9,0,5,4,5,9,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,3,0,0,4,0,5,0,3
27,Woman,31-35,Married,credit expert ,Private sector,Iphone 5,Yapi Kredi,5-10,7,Yes,5,5,5,9,9,9,9,9,9,4,5,4,9,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Man,25-30,Married,computer engineer,Private sector,Iphone  6,Garanti,5-10,7,Yes,6,7,5,9,9,9,9,9,0,5,9,4,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Man,31-35,Married,Engineer,Private sector,Samsung,Garanti,5-10,6,Yes,4,4,4,4,9,9,3,0,0,5,9,4,9,9,9,,,,9,9,9,9,3,3,3,9,,,-,-,-,-,0,-,-,-,-,9,-,9,,9,-,-,-,9,0,9
30,Man,31-35,Married,Engineer,Private sector,Samsung,Akbank,5-10,6,Yes,4,4,4,4,9,9,3,0,0,5,9,4,9,9,9,,,,9,9,9,9,3,3,3,9,,,-,-,-,-,0,-,-,-,-,9,-,9,,9,-,-,-,9,0,9
31,Woman,25-30,Single,computer engineer,Private sector,Iphone ,Akbank,5-10,3,Yes,6,6,4,4,0,0,0,0,0,4,0,4,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0
32,Woman,25-30,Single,,Private sector,SONY XPER?A 75,Garanti,Never,3,No,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,Woman,25-30,Single,,Private sector,SONY XPER?A 75,Akbank,0-5,3,Yes,0,7,4,4,3,3,4,0,0,5,0,3,3,,5,5,5,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Man,20-24,Single,Software Engineer,Private sector,SONY Z2,Akbank,Never,3,No,1,5,1,1,1,1,1,1,1,7,1,1,5,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,Man,25-30,Single,computer engineer,Private sector,Iphone 6,Garanti,0-5,3,Yes,5,7,5,4,0,0,0,0,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,3,0,3
36,Man,25-30,Single,computer engineer,Private sector,Iphone 6,Akbank,0-5,3,No,5,7,5,4,0,0,0,0,0,4,4,4,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,3,0,0,4,3,0,3
37,Man,50+,Married,Retired,Private sector,Nokia,Ziraat,Never,0,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,Man,36-40,Married,Not working ,Not working ,Android,,Never,0,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Man,45-50,Single,public servant,Private sector,,Isbank,5-10,3,Yes,5,7,4,5,0,0,0,0,0,5,0,4,0,5,5,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,9,0,3
40,Man,50+,Married,public servant,Not working ,,Isbank,5-10,3,No,4,4,0,0,0,,,,,0,,,,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Woman,45-50,, public servant,,,Garanti,5-10,3,Yes,7,0,9,9,0,0,0,0,0,0,9,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Woman,,Married, public servant,Public institution ,,Garanti,0-5,3,No,7,0,9,9,0,0,0,0,0,9,0,9,0,0,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Man,25-30,Married, public servant,Public institution ,Samsung,Ziraat,0-5,3,Yes,7,8,7,4,9,9,0,0,0,6,0,0,0,5,4,4,0,0,,0,0,0,0,0,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0
44,Man,50+,Married,,Public institution ,,Garanti,5-10,3,Yes,4,3,0,0,0,0,0,0,0,9,9,9,0,0,3,0,0,0,3,0,0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Man,50+,Married,,Public institution ,,Ziraat,5-10,3,Yes,4,3,0,0,0,0,0,0,0,9,9,9,0,0,3,0,0,0,3,0,0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Man,45-50,Married,,Public institution ,,Ziraat,0-5,,Yes,5,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Woman,41-45,Single,,Public institution ,Samsung,Ziraat,Never,0,No,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,Woman,31-35,Single, public servant,Public institution ,Iphone,Ziraat,5-10,3,Yes,7,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,-,-,-,-,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,9,9,9,9,0
49,,50+,Married,,Public institution ,Smartphone,Garanti,Never,0,NO,1,1,1,5,3,1,1,1,1,1,1,1,1,Several times in a day,1,4,4,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,3,3,1,-,1,1,1,1,1,1,1,1,3,1,1,1
50,,50+,Married,,Public institution ,Smartphone,Vakifbank,Never,0,NO,1,1,1,5,3,1,1,1,1,1,1,1,1,Several times in a day,1,4,4,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,3,3,1,-,1,1,1,1,1,1,1,1,3,1,1,1
51,Man,25-30,Married, public servant,,Iphone,Yapi Kredi,,6,No,9,9,5,5,3,3,3,3,3,7,7,9,6,5,5,5,5,0,0,0,0,0,0,4,4,4,0,-,3,5,3,3,3,9,3,9,3,9,9,0,9,8,0,9,7,0,0,9
52,Man,45-50,Married, public servant,Public institution ,Samsung,Ziraat,0-5,3,NO,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
53,Woman,25-30,Single, public servant,,Iphone 6,Garanti,0-5,,Yes,9,9,5,4,9,9,9,9,3,5,0,,,4,3,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Woman,41-45,,public servant,Public institution ,Samsung Note 3,Ziraat,0-5,3,No,5,7,4,4,4,4,,0,0,6,6,,3,9,,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,4,3
55,Woman,41-45,,public servant,Public institution ,Samsung Note 3,Garanti,0-5,3,No,5,7,4,4,4,4,,0,0,6,6,,3,9,,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,4,3
56,Woman,41-45,,public servant,Public institution ,Samsung Note 3,Vakifbank,0-5,3,No,5,7,4,4,4,4,,0,0,6,6,,3,9,,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,4,3
57,Man,41-45,Married,,Public institution ,Iphone 5,Ziraat,10+,6,Yes,3,7,5,4,3,3,3,3,3,8,3,5,3,9,3,0,0,0,3,3,-,-,-,6,3,3,-,6,-,3,-,6,,,,-,-,3,3,-,-,-,-,-,5,3,3,3
58,Man,41-45,Married,,Public institution ,Iphone 5,Isbank,10+,6,Yes,3,7,5,4,3,3,3,3,3,8,3,5,3,9,3,0,0,0,3,3,-,-,-,6,3,3,-,6,-,3,-,6,,,,-,-,3,3,-,-,-,-,-,5,3,3,3
59,Man,41-45,Married,,Public institution ,Iphone 5,Vakifbank,10+,6,Yes,3,7,5,4,3,3,3,3,3,8,3,5,3,9,3,0,0,0,3,3,-,-,-,6,3,3,-,6,-,3,-,6,,,,-,-,3,3,-,-,-,-,-,5,3,3,3
60,Man,25-30,Single, public servant,Public institution ,Samsung,Isbank,0-5,3,No,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,0,0,0,0,0,0,9,-,-,-,9,-,0,0,9,0,0,0,0,0,9,9,9,0,0,0,0,0,9,0,0
61,Man,31-35,Single, public servant,Public institution ,Samsung,Ziraat,5-10,0,Yes,5,0,9,3,3,0,0,0,0,9,3,3,0,0,3,9,0,3,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,9,9,0,0
62,Man,36-40,Married,interpreter,Private sector,Iphone 6,Garanti,5-10,7,Yes,8,8,6,6,3,9,9,0,0,8,8,0,0,5,5,5,5,0,0,9,9,0,0,0,9,0,0,0,0,9,9,0,0,0,9,0,0,0,0,9,9,9,0,0,0,0,0,9
63,Man,36-40,Married, public servant,Public institution ,Samsung Note 4,Ziraat,5-10,6,Yes,7,7,5,4,4,4,4,0,0,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0
64,Man,36-40,Married, public servant,Public institution ,Lenovo A7000,Ziraat,10+,3,NO,9,9,0,9,0,0,0,0,0,5,0,5,5,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,9,0
65,Woman,41-45,Single, public servant,Public institution ,HTC DES?RE,Ziraat,5-10,0,Yes,5,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Man,45-50,Married,,Public institution ,Samsung,Ziraat,10+,6,No,7,7,5,5,3,0,0,0,3,7,7,4,3,9,,0,0,4,3,3,0,0,0,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,0,0,0,0,9,0,5,0,0,4
67,Woman,45-50,Single, public servant,Public institution ,Iphone,Vakifbank,5-10,6,Yes,4,5,4,4,4,0,0,0,0,4,0,5,3,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0
68,Man,50+,Married, public servant,Public institution ,Samsung,Garanti,0-5,,Yes,7,0,7,4,3,0,0,0,0,7,7,7,7,7,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,5,5,0,0
69,Man,41-45,Married, public servant,Public institution ,Samsung Note 4,Garanti,10+,6,Yes,7,6,5,5,9,0,0,0,0,0,0,5,5,0,5,0,4,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,4,5,0,0
70,Man,50+,Married, public servant,Public institution ,Samsung,Garanti,0-5,3,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Woman,50+,Single, public servant,Public institution ,Iphone ,Ziraat,0-5,3,No,5,5,0,0,0,0,0,0,0,5,5,5,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0
72,Man,31-35,Married,,Public institution ,LG G3,Vakifbank,5-10,6,Yes,7,7,4,9,9,0,0,9,9,6,3,4,9,9,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,5,0,5,0
73,Man,31-35,Married,,Public institution ,LG G3,Garanti,5-10,6,Yes,7,7,4,9,9,0,0,9,9,6,3,4,9,9,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,5,0,5,0
74,Woman,50+,Single, public servant,Public institution ,,Akbank,0-5,3,Yes,5,5,0,4,0,0,0,0,0,4,0,5,3,8,4,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,0,0,3
75,,45-50,Single,,Public institution ,Samsung,Ziraat,5-10,6,Yes,5,7,4,4,3,9,9,9,3,,,3,3,,4,4,4,3,4,4,3,3,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,3,3,4,5,4,3,4,4
76,,45-50,Single,,Public institution ,Samsung,Garanti,5-10,6,Yes,5,7,4,4,3,9,9,9,3,,,3,3,,4,4,4,3,4,4,3,3,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,3,3,4,5,4,3,4,4
77,Woman,45-50,Married, public servant,Public institution ,Iphone,Garanti,5-10,3,Yes,4,4,6,4,9,9,9,0,0,5,9,5,4,4,9,9,9,0,9,0,0,0,0,0,9,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
78,Man,25-30,Single, public servant,Public institution ,Samsung S3,Vakifbank,0-5,3,Yes,9,9,5,4,0,0,0,0,0,6,0,3,5,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
