ID,Gender,Age,Marital Status,Job,Employment Status,Your Phone Model,Your bank information,How many years you are using internet banking application,How many years you are using mobile banking application,Do you find mobile application user-friendly,Internet banking usage frequency,Mobile banking usage frequency,Credit card debt inquiry,Credit card debt payment,Credit card limit transactions,Create & delete virtual card,Virtual card limit transactions,An additional new card application,Opening a new account,Balance check,Loan transaction,Transfer money to previously transferred account.,Transfer money to new account.,Invoice payment (If it is automatic payment than choose 8),Government payments,GSM transactions,Rent payment,Lottery transactions,HGS / OGS transactions,Tax / penalty transactions,SGK transactions,Bill transactions,Salary payment,Investment account transactions,Foreign money exchange transactions,Gold transactions,Investment fund transactions,Stock transactions,Public offering operations,Repo transactions,Bond transactions,Instant stock exchange transactions,Consumer credit usage,My credit accounts,Applying for mortgage ,Applying for car loan,Findeks risk report,New card application,New account opening,Request status,Foreign exchange calculation,Loan calculation,Make an appointment at a bank branch,Donate transactions,View payment schedule,View bank campaigns,Mobile signature use,Communicating with the bank
79,Man,25-30,Single, public servant,Public institution ,Samsung S3,Ziraat,0-5,3,Yes,9,9,5,4,0,0,0,0,0,6,0,3,5,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,,50+,Married,,Public institution ,Iphone,Halk Bank,0-5,6,No,7,,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Man,,, public servant,Public institution ,Iphone,Halk Bank,0-5,3,No,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,,25-30,Single, public servant,Public institution ,Samsung,Ziraat,0-5,3,No,5,5,5,4,4,0,0,0,0,4,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Woman,41-45,Single, public servant,Public institution ,Iphone,Isbank,5-10,6,Yes,4,9,5,4,0,0,0,0,0,5,4,4,4,9,9,0,4,0,0,0,0,0,0,9,8,3,9,7,-,-,-,-,-,-,-,-,-,-,9,9,3,3,-,3,8,8,9,5
84,Woman,25-30,Married,,Private sector,Iphone 7,-,0-5,,No,9,9,4,4,5,0,0,0,0,4,0,5,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,9,9,3,3,0,3,8,8,0,5,0,0,0,0,0,0,0,0,0,0
85,Man,25-30,Married,chemist,Not working ,VODEFONE SMART 6,-,0-5,3,Yes,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0
86,Woman,45-50,Married,teacher,Public institution ,Iphone 6+,-,0-5,3,No,5,5,5,4,0,0,0,0,0,5,0,5,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Man,36-40,Married,teacher,Public institution ,Nokia E5,-,0-5,3,No,5,5,7,4,6,0,0,0,0,7,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0
88,Man,50+,Married,public servant,Public institution ,L G,-,0-5,3,No,4,4,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Woman,31-35,Married,Not working ,Not working ,Samsung,-,,3,No,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Man,25-30,Single, public servant,Public institution ,Sony,-,0-5,3,Yes,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0
91,Man,36-40,Married,,Private sector,Samsung Note 5,-,,7,Yes,4,6,6,4,3,0,0,0,9,5,4,6,5,9,5,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,,36-40,Married,Not working ,Not working ,,-,Never,0,No,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1
93,Man,31-35,Married,Miner worker,Public institution ,Samsung J5,-,5-10,6,Yes,8,8,4,4,0,0,0,0,0,9,0,4,0,9,0,9,0,9,9,9,0,0,0,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
94,Man,50+,Married,Machine engineer,Private sector,VODEFONE SMART 6,-,5-10,6,Yes,6,7,9,4,3,3,3,0,3,9,9,9,0,9,9,4,4,0,9,9,0,0,9,0,0,0,0,0,9,9,0,0,0,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0
95,Man,20-24,Single,,Private sector,Asus ZenFone,Garanti,0-5,3,Yes,6,7,5,4,4,0,0,0,0,6,3,0,0,0,3,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Woman,41-45,Married,teacher,Public institution ,Smartphone,-,Never,0,No,1,1,2,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97,Woman,31-35,Married,Teacher,Public institution ,Smartphone,-,0-5,0,No,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0
98,Woman,20-24,Single,teacher,,General Mobile,-,0-5,3,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
99,Woman,36-40,Married,,Public institution ,General Mobile,,Never,0,No,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
100,Man,25-30,Married,teacher,Public institution ,Samsung,-,5-10,6,Yes,8,5,0,4,4,4,3,0,0,0,0,0,0,9,4,4,0,0,9,9,9,9,9,0,9,9,9,9,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,9,9,4,3,9
101,Man,31-35,Married,teacher,Public institution ,Iphone 4S,-,5-10,6,Yes,7,7,7,4,3,3,3,0,0,7,3,5,3,9,3,0,4,0,0,9,9,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
102,Man,25-30,Married,teacher,Public institution ,Smartphone,-,5-10,6,Yes,8,5,5,5,5,5,4,0,0,4,0,4,4,4,4,4,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,9,9,9,0,0,9,0,0,0,0,0,0,0,0,0,,0
103,Man,36-40,Married,teacher,Public institution ,Samsung A5,-,5-10,3,No,7,7,0,,0,0,0,0,0,6,0,5,5,0,4,4,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,9,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Woman,25-30,Married,,Public institution ,Iphone S5,-,0-5,0,No,5,,-,,,,,,,,,,,,,,,,9,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Woman,25-30,Single,teacher,Public institution ,Lenovo A7010,-,5-10,3,No,5,7,5,5,0,0,0,0,0,5,0,5,5,7,3,0,0,0,0,9,0,0,4,0,9,0,0,0,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0
106,Woman,25-30,Single,teacher,Public institution ,Samsung  S3,-,Never,0,No,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107,Man,36-40,Single,teacher,Public institution ,Samsung,-,Never,0,No,1,1,-,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
108,Woman,31-35,Single,,Public institution ,Samsung Note 2,-,5-10,0,No,5,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,4,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,3,5,0,0,0
109,Woman,31-35,Married,,Public institution ,LG G3,-,,,No,7,7,5,4,4,0,0,0,0,5,0,5,3,8,3,5,0,0,3,9,0,5,5,5,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Woman,31-35,Married,teacher,Public institution ,Smartphone,-,,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Woman,31-35,Married,,Public institution ,Xiaomi mi 5,-,0-5,0,No,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Woman,31-35,Single,teacher,Public institution ,Smartphone,-,Never,0,No,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,1,1
113,Woman,31-35,Married,teacher,Public institution ,Iphone,-,5-10,3,No,5,5,4,4,0,0,0,0,0,4,4,4,5,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-,4,3,-,4,3,3,4,4
114,Woman,36-40,Married,teacher,Public institution ,Iphone 6,-,0-5,3,No,4,4,4,4,4,3,3,3,6,6,5,4,5,,7,7,7,7,4,4,3,3,4,4,-,3,4,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Woman,31-35,Married,teacher,Public institution ,Iphone 6,-,10-15,3,NO,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,4,-,3,-,3,4,0,0,0,0,0,0,0,0,0,0
116,Man,41-45,Married,teacher,Public institution ,Huawei 6205,-,Never,0,NO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
117,Man,31-35,Married,teacher,Public institution ,,,Never,0,No,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
118,Woman,36-40,Married,teacher,Public institution ,Samsung 7+ Edge,,Never,0,NO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1
119,Woman,31-35,Married,teacher,Public institution ,Iphone 5,-,0-5,6,Yes,8,6,9,9,9,,0,0,,5,9,5,9,9,5,5,9,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Man,36-40,Married,,Public institution ,Samsung,,Never,0,No,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,3,3,1,1,5,1,1,1
121,Woman,25-30,Married,teacher,Public institution ,Iphone 7,-,5-10,6,No,7,7,6,4,0,0,0,0,0,6,0,6,3,9,4,4,0,0,3,9,9,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Woman,41-45,Married,teacher,Public institution ,Iphone 6+,-,0-5,6,Yes,5,0,9,9,,,,,,9,,9,,9,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,5,0,0,0,0,-,0,0,0,0,0,0,5,3,3,0,3
123,Man,31-35,Married,teacher,Public institution ,Iphone 7,-,5-10,6,Yes,5,6,4,4,5,0,0,9,9,5,0,3,3,4,9,4,0,0,0,3,0,0,0,4,0,4,0,0,-,-,-,-,-,-,-,-,-,-,9,9,9,9,4,9,4,4,9,3
124,Woman,25-30,Married,teacher,Public institution ,Samsung Note 2,-,5-10,6,Yes,5,5,7,4,5,0,0,9,0,5,5,5,5,,4,4,4,,9,9,9,-,-,9,4,4,9,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Woman,36-40,Married,Engineer,Self-employed ,Genaral Mobile,Akbank,10+,6,Yes,5,5,4,4,4,5,5,0,0,0,0,5,3,9,4,4,4,5,5,0,0,0,4,9,9,9,9,9,9,9,9,9,9,0,0,9,9,9,0,0,0,0,0,0,0,0,0,0
126,Woman,20-24,Single,Engineer,Private sector,Iphone 7S,Garanti,10+,7,NO,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Woman,45-50,Single,,Public institution ,Samsung S6 EDGE,Yapi Kredi,10+,7,Yes,5,5,9,4,4,0,5,5,0,0,5,0,5,9,5,3,0,0,-,-,-,-,-,-,-,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0
128,Man,31-35,Married,Engineer,Public institution ,Iphone 4S,Garanti,10+,3,No,7,7,7,4,5,5,5,0,0,7,0,7,3,5,,0,4,5,9,0,0,0,0,4,0,0,0,4,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0
129,Man,36-40,Married,Engineer,Public institution ,,Yapi Kredi,10+,3,No,5,4,4,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Man,31-35,Married,Engineer,Public institution ,,Akbank,,7,Yes,3,3,0,9,0,0,0,0,0,9,,3,3,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Man,41-45,Married,Engineer,Public institution ,,Yapi Kredi,5-10,6,Yes,4,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9,9,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
132,Woman,41-45,,,Public institution ,Samsung,Garanti,0-5,3,Yes,4,4,4,4,4,4,4,3,9,4,9,9,9,4,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0
133,Woman,,Single,Student,Not working ,Reeder,Ziraat,0-5,3,Yes,4,7,0,0,0,0,0,0,0,7,7,5,3,0,4,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0
134,Man,25-30,Married,purchasing,Private sector,Lenovo S1 Lite,Garanti,0-5,3,Yes,5,7,4,4,4,0,0,0,0,5,0,4,3,4,5,4,4,5,3,-,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
135,Man,25-30,Married,purchasing,Private sector,Lenovo S1 Lite,Yapi Kredi,0-5,3,Yes,5,7,4,4,4,0,0,0,0,5,0,4,3,4,5,4,4,5,3,-,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
136,Man,25-30,Married,purchasing,Private sector,Lenovo S1 Lite,Akbank,0-5,3,Yes,5,7,4,4,4,0,0,0,0,5,0,4,3,4,5,4,4,5,3,-,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
137,Man,20-24,Single,Information Engineer,Private sector,Samsung,Akbank,0-5,,Yes,5,6,4,4,0,9,9,0,0,4,4,4,4,9,9,4,9,9,4,3,9,9,4,3,3,9,9,9,0,0,0,0,0,0,0,0,0,0,0,3,3,9,9,9,9,9,9,0
138,Man,25-30,Single,Engineer,Private sector,Iphone 6,Akbank,0-5,,Yes,9,8,7,4,3,3,3,0,9,7,6,6,4,5,5,4,4,4,3,3,9,9,9,9,3,3,3,0,0,0,9,9,9,3,9,9,9,0,0,9,6,9,0,9,9,9,0,3
139,Man,20-24,Single,computer engineer,Private sector,Iphone 6,Akbank,0-5,,No,6,0,0,0,0,0,0,0,0,6,0,0,0,0,5,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,4,0,0
140,Man,25-30,Single,Software Engineer,Private sector,Asus,Akbank,10+,,Yes,7,7,5,4,3,3,3,9,9,5,9,6,6,6,6,6,6,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0
141,Woman,36-40,Married,Software Engineer,Private sector,Samsung S3,,10+,,Yes,7,0,9,9,9,0,0,0,0,9,0,9,9,9,9,9,9,0,3,3,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,0,9,0,0,0,9
142,Woman,31-35,Married,computer engineer,Private sector,Samsung,Akbank,10+,,Yes,7,5,4,4,3,0,0,0,3,6,0,5,3,5,0,3,0,0,0,0,0,0,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,4,3,0,0
143,Woman,20-24,Single,Engineer,Private sector,Iphone 6,Akbank,0-5,,No,7,8,0,0,3,0,0,0,9,4,5,4,9,9,9,9,9,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,0,0,9,9,0,9,0,9
144,Woman,31-35,Married,Engineer,Private sector,Smartphone,Akbank,0-5,,Yes,5,5,4,4,0,0,0,0,3,3,3,5,3,0,3,0,0,0,3,3,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,3,3,0,0,9
145,Man,20-24,Single,computer engineer,Private sector,Iphone 6,Akbank,10+,,No,0,7,6,4,6,3,4,9,0,3,5,5,5,5,5,5,5,5,0,0,0,0,4,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,4,0,0,0,0
146,Woman,31-35,Married,Not working ,Private sector,Samsung,,,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Woman,31-35,Single,Not working ,Private sector,Samsung,,,0,NO,0,0,,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Man,31-35,Married,teacher,Public institution ,Samsung,Yapi Kredi,5+,3,Yes,9,9,6,5,3,3,3,0,9,7,0,0,0,0,7,0,0,0,0,0,0,0,0,7,7,7,0,7,0,0,0,7,0,0,0,0,0,0,3,3,3,0,0,0,6,0,0,0
149,Woman,31-35,Married,teacher,Public institution ,Iphone 5S,Yapi Kredi,0-5,0-5,Yes,5,5,4,3,0,0,0,0,5,4,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,9
150,Woman,36-40,Married,teacher,Private sector,Samsung j5,Ziraat,5+,3+,Yes,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Woman,41-45,Single,teacher,Private sector,Casper,Akbank,,3,Yes,5,6,5,0,3,0,9,5,0,3,3,9,0,0,0,0,0,0,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Woman,41-45,Single,teacher,Private sector,Casper,Yapi Kredi,,3,Yes,5,6,5,0,3,0,9,5,0,3,3,9,0,0,0,0,0,0,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Man,25-30,Single,teacher,Public institution ,Samsung S6 EDGE,Vakifbank,0-5,4+,No,6,9,7,5,3,3,5,3,3,5,3,3,3,9,4,4,4,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,3,0,0,0,0,3,0,3,5
154,Man,41-45,Married,teacher,Public institution ,General mobile,Yapi Kredi,0-5,3,Yes,5,0,0,0,0,0,0,0,0,9,9,9,0,9,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,9,0,9,0,9,0,9
155,Woman,45-50,Single,teacher,Public institution ,Iphone 5S,Yapi Kredi,0-5,3,NO,0,5,5,8,0,0,0,0,0,3,9,0,3,9,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
156,Man,36-40,Married,teacher,Public institution ,Samsung S3,Akbank,5+,4+,No,5,6,5,4,3,0,0,0,0,6,0,4,3,0,4,3,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
157,Man,36-40,Married,teacher,Public institution ,Samsung S3,Yapi Kredi,5+,4+,No,5,6,5,4,3,0,0,0,0,6,0,4,3,0,4,3,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
158,Man,31-35,Married,health servant,Not working ,Samsung j,0,5+,0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Man,25-30,Married,Not working ,Self-employed ,LG,0,0-5,0-3,Yes,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Woman,31-35,Married,Not working ,Not working ,Sony,0,10+,7+,Yes,3,3,9,9,9,9,9,9,9,9,9,0,0,4,4,4,4,0,4,4,4,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,9,9,0,0,0,0,0
161,Woman,41-45,Married,Not working ,Private sector,Iphone ,0,5+,0-3,Yes,4,4,4,4,4,0,0,0,0,4,0,9,9,4,4,4,0,0,0,0,0,0,0,9,9,9,0,0,0,0,0,9,9,0,0,0,0,0,9,9,9,9,9,0,0,0,0,0
162,Woman,25-30,Single,Not working ,Public institution ,Asus,0,0-5,0-3,Yes,5,5,4,4,4,9,9,0,0,4,9,9,9,9,0,0,0,0,9,9,9,0,0,0,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,9,9,9,9,0,0,0,0,0
163,Man,31-35,Married,Not working ,Public institution ,Iphone ,0,0-5,0-3,Yes,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Woman,25-30,Single,Not working ,Private sector,Asus,0,0-5,0-3,NO,3,3,9,9,9,9,9,9,9,9,9,4,4,4,4,4,9,9,0,0,0,9,9,9,9,9,9,9,9,9,9,0,9,9,0,9,9,9,0,9,9,9,9,0,0,0,0,0
165,Man,31-35,Married,Accountant,Private sector,0,0,5+,0-3,Yes,4,4,9,9,9,9,9,9,9,9,9,4,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,9,9,9,9,0,0,0,0,0
